,X,Y,Z
308,1.36,1.19,-0.02
309,1.38,1.28,0.02
310,1.33,1.25,-0.02
311,1.31,1.34,-0.07
312,1.31,1.34,-0.07
313,1.26,1.25,-0.14
314,1.28,1.25,-0.07
315,1.31,1.28,-0.02
316,1.38,1.28,0.02
317,0.88,1.14,0.03
318,0.83,1.11,-0.04
319,0.77,1.14,-0.01
320,0.75,1.17,-0.03
321,0.72,1.2,-0.03
322,0.73,1.17,-0.1
323,0.72,1.17,-0.03
324,0.82,1.17,0.06
325,0.82,1.2,0.08
326,0.83,1.14,-0.01
327,0.77,1.11,-0.01
328,0.7,1.11,-0.05
329,0.72,1.14,-0.05
330,0.72,1.14,-0.05
331,0.78,1.17,-0.03
332,0.77,1.17,0.04
333,0.82,1.14,0.06
334,0.82,1.14,0.03
335,0.78,1.2,-0.03
336,0.75,1.14,-0.03
337,0.73,1.14,-0.08
338,0.73,1.11,-0.08
339,0.75,1.14,-0.03
340,0.82,1.17,0.06
341,0.8,1.11,0.06
342,0.83,1.14,0.01
343,0.8,1.14,0.01
344,0.75,1.14,-0.03
345,0.72,1.17,-0.05
346,0.7,1.14,-0.03
347,0.51,1.06,-0.02
348,0.53,1.0,0.03
349,0.55,1.06,0.1
350,0.58,1.09,0.12
351,0.53,1.06,0.05
352,0.48,1.0,-0.02
353,0.42,1.0,0.06
354,0.45,1.06,0.04
355,0.48,1.03,0.01
356,0.48,1.06,0.01
357,0.53,1.03,0.05
358,0.53,1.03,0.05
359,0.56,1.06,0.08
360,0.56,1.06,0.08
361,0.43,1.09,0.01
362,0.4,1.03,-0.01
363,0.45,1.03,0.04
364,0.48,1.03,0.06
365,0.56,1.0,0.08
366,0.58,1.0,0.1
367,0.58,1.0,0.1
368,0.5,1.0,0.06
369,0.5,1.0,0.06
370,0.5,1.0,0.06
371,0.43,1.03,0.01
372,0.45,1.06,0.01
373,0.53,1.03,0.05
374,0.55,1.09,0.12
375,0.58,1.06,0.12
376,0.51,1.0,0.01
377,0.4,1.0,0.04
378,0.43,1.03,0.04
379,0.48,1.03,0.01
380,0.43,0.97,-0.04
381,0.3,0.89,-0.05
382,0.3,0.89,-0.05
383,0.32,0.94,0.04
384,0.3,0.94,-0.05
385,0.25,0.92,-0.1
386,0.25,0.89,-0.14
387,0.2,0.89,-0.12
388,0.22,0.92,-0.09
389,0.27,0.94,-0.05
390,0.27,0.94,-0.05
391,0.32,0.89,-0.03
392,0.3,0.86,-0.08
393,0.22,0.92,-0.12
394,0.2,0.97,-0.09
395,0.2,0.94,-0.12
396,0.25,0.92,-0.12
397,0.27,0.92,-0.07
398,0.3,0.92,-0.03
399,0.29,0.89,0.04
400,0.33,0.92,-0.08
401,0.25,0.89,-0.12
402,0.2,0.89,-0.12
403,0.22,0.92,-0.09
404,0.25,0.97,-0.12
405,0.3,0.97,-0.12
406,0.3,0.92,-0.05
407,0.32,0.94,-0.0
408,0.3,0.94,-0.03
409,0.27,0.97,-0.07
410,0.17,0.86,-0.09
411,0.09,0.83,-0.06
412,0.11,0.83,-0.06
413,0.16,0.86,0.01
414,0.21,0.89,0.05
415,0.19,0.89,0.03
416,0.19,0.8,-0.02
417,0.22,0.77,0.0
418,0.14,0.86,-0.04
419,0.14,0.83,-0.07
420,0.14,0.83,-0.07
421,0.09,0.8,-0.09
422,0.19,0.83,-0.04
423,0.24,0.89,0.07
424,0.21,0.86,0.05
425,0.19,0.86,-0.02
426,0.11,0.83,-0.04
