Bx,By,Bz
1.261616650259077765e+01,-2.521320091000157859e+00,-2.493059834572903455e+01
1.259896263383129522e+01,-2.531958105880181442e+00,-2.492404673867735454e+01
1.258187469190761831e+01,-2.542658485304933880e+00,-2.491747882325139329e+01
1.256490259939818266e+01,-2.553421264572933058e+00,-2.491089549327738339e+01
1.254804627334468847e+01,-2.564246476510847472e+00,-2.490429764224329290e+01
1.253130562962804184e+01,-2.575134153060118170e+00,-2.489768616285346781e+01
1.251468057797636391e+01,-2.586084323438836652e+00,-2.489106194745868450e+01
1.249817102635271127e+01,-2.597097015762945382e+00,-2.488442588763330932e+01
1.248177687908985156e+01,-2.608172256361324326e+00,-2.487777887432158863e+01
1.246549803500299802e+01,-2.619310069021850929e+00,-2.487112179793818001e+01
1.244933439181017398e+01,-2.630510476712725865e+00,-2.486445554801138869e+01
1.243328584109167778e+01,-2.641773499591067331e+00,-2.485778101351240466e+01
1.241735227272151576e+01,-2.653099156759099575e+00,-2.485109908252174904e+01
1.240153357298486014e+01,-2.664487465521867104e+00,-2.484441064233803331e+01
1.238582962267317278e+01,-2.675938440576097754e+00,-2.483771657953956336e+01
1.237024030154792698e+01,-2.687452095866540436e+00,-2.483101777971909740e+01
1.235476548325217472e+01,-2.699028442441404607e+00,-2.482431512770853743e+01
1.233940503978557146e+01,-2.710667490343163344e+00,-2.481760950733812265e+01
1.232415883960391234e+01,-2.722369247809215409e+00,-2.481090180150647129e+01
1.230902674569772337e+01,-2.734133720403730372e+00,-2.480419289220102996e+01
1.229400862009823570e+01,-2.745960913008201665e+00,-2.479748366032918128e+01
1.227910431874294339e+01,-2.757850827524189974e+00,-2.479077498583318473e+01
1.226431369599202093e+01,-2.769803464898592971e+00,-2.478406774754671815e+01
1.224963660271130905e+01,-2.781818824267067392e+00,-2.477736282322420180e+01
1.223507288433462747e+01,-2.793896902029047169e+00,-2.477066108951861523e+01
1.222062238541038681e+01,-2.806037693972651237e+00,-2.476396342191267408e+01
1.220628494442216905e+01,-2.818241192824993746e+00,-2.475727069471966857e+01
