,X,Y,Z
522,-0.08,0.15,0.04
523,0.06,0.15,-0.07
524,0.01,0.12,-0.22
525,-0.02,0.15,-0.09
526,0.06,0.18,-0.14
527,-0.05,0.12,-0.09
528,0.06,0.12,-0.12
529,-0.02,0.12,-0.17
530,0.01,0.04,-0.07
531,0.03,0.12,-0.17
532,-0.02,0.12,-0.06
533,0.06,0.12,-0.14
534,-0.02,0.12,-0.14
535,0.0,0.12,-0.06
536,0.01,0.12,-0.14
537,-0.07,0.07,-0.09
538,0.06,0.15,-0.12
539,-0.04,0.12,-0.14
540,0.01,0.12,-0.09
541,0.03,0.12,-0.17
542,-0.02,0.09,-0.04
543,0.08,0.15,-0.14
544,-0.04,0.09,-0.14
545,-0.02,0.15,-0.06
546,0.06,0.12,-0.2
547,-0.03,0.12,0.09
548,0.05,0.09,0.04
549,-0.05,0.12,0.09
550,0.03,0.1,0.14
551,0.03,0.07,0.06
552,-0.03,0.1,0.19
553,0.08,0.12,0.06
554,-0.05,0.07,0.12
555,0.03,0.1,0.11
556,0.03,0.1,0.06
557,-0.03,0.1,0.19
558,0.08,0.12,0.04
559,-0.05,0.07,0.09
560,0.03,0.1,0.06
561,0.0,0.07,0.04
562,0.02,0.07,0.22
563,0.05,0.12,0.06
564,-0.05,0.07,0.09
565,0.05,0.1,0.09
566,0.0,0.12,0.12
567,-0.03,0.1,0.17
568,0.03,0.15,0.06
569,-0.03,0.07,0.14
570,0.03,0.15,0.06
571,-0.02,0.07,0.06
572,-0.0,0.1,0.17
573,0.06,0.12,-0.01
574,-0.02,0.01,-0.07
575,0.06,0.07,-0.14
